time_sec,x,y,yaw
263.480,-0.0111,1.0692,0.5407
263.920,0.0369,1.0869,0.1669
264.360,0.0881,1.0859,-0.2071
264.800,0.1354,1.0662,-0.5811
265.180,0.1755,1.0322,-0.7735
265.520,0.2098,0.9945,-0.8925
265.860,0.2394,0.9530,-1.0115
266.200,0.2638,0.9083,-1.1305
266.540,0.2827,0.8610,-1.2495
266.880,0.2959,0.8117,-1.3685
267.220,0.3032,0.7613,-1.4875
267.560,0.3044,0.7103,-1.6065
267.900,0.2996,0.6596,-1.7255
268.240,0.2887,0.6098,-1.8445
268.580,0.2721,0.5616,-1.9635
268.920,0.2498,0.5158,-2.0825
269.260,0.2222,0.4729,-2.2015
269.600,0.1898,0.4336,-2.3205
269.940,0.1529,0.3984,-2.4395
270.280,0.1121,0.3679,-2.5585
270.620,0.0680,0.3424,-2.6775
270.960,0.0211,0.3223,-2.7965
271.300,-0.0278,0.3079,-2.9155
271.640,-0.0781,0.2995,-3.0345
271.980,-0.1290,0.2971,3.1297
272.320,-0.1798,0.3007,3.0107
272.660,-0.2299,0.3103,2.8917
273.000,-0.2784,0.3259,2.7727
273.340,-0.3248,0.3470,2.6537
273.680,-0.3683,0.3736,2.5347
274.020,-0.4084,0.4051,2.4157
274.360,-0.4444,0.4411,2.2967
279.360,-0.4225,0.3942,-0.9275
279.680,-0.3904,0.3554,-0.8308
280.000,-0.3547,0.3199,-0.7335
280.320,-0.3154,0.2877,-0.6404
280.640,-0.2731,0.2589,-0.5549
280.960,-0.2278,0.2332,-0.4807
281.280,-0.1800,0.2101,-0.4198
281.580,-0.1328,0.1903,-0.3816
281.880,-0.0839,0.1713,-0.3614
282.160,-0.0371,0.1536,-0.3626
282.460,0.0119,0.1346,-0.3821
282.760,0.0592,0.1146,-0.4180
283.060,0.1046,0.0932,-0.4686
283.380,0.1506,0.0679,-0.5383
283.700,0.1937,0.0398,-0.6206
284.020,0.2337,0.0084,-0.7112
284.340,0.2701,-0.0262,-0.8099
284.680,0.3045,-0.0665,-0.9205
285.020,0.3338,-0.1100,-1.0388
285.360,0.3573,-0.1563,-1.1640
285.700,0.3746,-0.2049,-1.2927
286.040,0.3855,-0.2552,-1.4230
286.380,0.3898,-0.3066,-1.5527
286.720,0.3873,-0.3580,-1.6841
287.060,0.3782,-0.4082,-1.8207
287.400,0.3622,-0.4561,-1.9650
287.760,0.3383,-0.5023,-2.1365
288.120,0.3076,-0.5419,-2.3336
288.540,0.2670,-0.5733,-2.6579
288.980,0.2181,-0.5883,-3.0319
289.420,0.1671,-0.5843,2.8773
289.860,0.1210,-0.5620,2.5033
290.220,0.0826,-0.5275,2.3480
290.560,0.0491,-0.4891,2.2290
290.900,0.0203,-0.4470,2.1100
291.240,-0.0032,-0.4018,1.9910
291.580,-0.0212,-0.3541,1.8720
291.920,-0.0334,-0.3046,1.7530
292.260,-0.0396,-0.2541,1.6340
292.600,-0.0398,-0.2031,1.5150
292.940,-0.0339,-0.1525,1.3960
293.280,-0.0221,-0.1029,1.2770
293.620,-0.0045,-0.0551,1.1580
